norm_addr,raw_addr,lon,lat,score,source,ts
강서구 화곡동 359-124,강서구 화곡동 359-124,,,0.0,kakao,2025-10-04 16:11:28.097100+00:00
강서구 화곡동 424-63,강서구 화곡동 424-63,,,0.0,kakao,2025-10-04 16:20:51.433110+00:00
강서구 화곡동 73-105,강서구 화곡동 73-105,,,0.0,kakao,2025-10-04 16:20:57.745727+00:00
개봉동 312-38외 1필지,개봉동 312-38외 1필지,,,0.0,kakao,2025-10-04 16:17:12.231346+00:00
개포동 656외,개포동 656외,,,0.0,kakao,2025-10-04 16:01:20.906429+00:00
고덕동 294,고덕동 294,,,0.0,kakao,2025-10-04 16:00:18.250383+00:00
공덕동 105-84번지,공덕동 105-84번지,,,0.0,kakao,2025-10-04 16:15:18.378940+00:00
관악구 봉천5-9동 산101번지,관악구 봉천5-9동 산101번지,,,0.0,kakao,2025-10-04 16:11:45.966451+00:00
관악구 봉천6동 63-39번지일대,관악구 봉천6동 63-39번지일대,,,0.0,kakao,2025-10-04 16:22:16.992180+00:00
관악구 봉천동 14-120,관악구 봉천동 14-120,,,0.0,kakao,2025-10-04 16:13:55.887955+00:00
관악구 봉천동 1535-37,관악구 봉천동 1535-37,,,0.0,kakao,2025-10-04 16:19:37.735433+00:00
관악구 봉천동 1553-1번지,관악구 봉천동 1553-1번지,,,0.0,kakao,2025-10-04 16:13:50.330135+00:00
관악구 봉천동 26-0,관악구 봉천동 26-0,,,0.0,kakao,2025-10-04 16:19:46.157046+00:00
관악구 봉천동 480번지,관악구 봉천동 480번지,,,0.0,kakao,2025-10-04 16:14:22.176085+00:00
관악구 봉천동 690-0,관악구 봉천동 690-0,,,0.0,kakao,2025-10-04 16:19:45.096215+00:00
관악구 봉천동 728-57번지,관악구 봉천동(보라매동) 728-57번지,,,0.0,kakao,2025-10-04 16:13:45.768676+00:00
관악구 봉천동 913번지,관악구 봉천동 913번지,,,0.0,kakao,2025-10-04 16:11:43.868262+00:00
관악구 신림동 1448-1,관악구 신림동 1448-1,,,0.0,kakao,2025-10-04 16:15:54.267262+00:00
관악구 신림동 1480-1,관악구 신림동 1480-1,,,0.0,kakao,2025-10-04 16:13:53.785336+00:00
관악구 신림동 1644번지,관악구 신림동 1644번지,,,0.0,kakao,2025-10-04 16:11:47.017064+00:00
관악구 신림동 1656번지,관악구 신림동 1656번지,,,0.0,kakao,2025-10-04 16:13:04.745027+00:00
관악구 신림동 316-55,관악구 신림동 316-55,,,0.0,kakao,2025-10-04 16:11:48.064575+00:00
관악구 신림동 324-25번지,관악구 신림동 324-25번지 ,,,0.0,kakao,2025-10-04 16:14:36.902983+00:00
관악구 신림동 475-83,관악구 신림동 475-83,,,0.0,kakao,2025-10-04 16:21:10.726125+00:00
관악구 신림동 655-78,관악구 신림동 655-78,,,0.0,kakao,2025-10-04 16:19:51.407502+00:00
관악구 신림동 739,관악구 신림동 739,,,0.0,kakao,2025-10-04 16:11:49.114867+00:00
관악구 신림동 746-43,관악구 신림동 746-43,,,0.0,kakao,2025-10-04 16:18:19.646941+00:00
관악구 신림동 808-495,관악구 신림동 808-495,,,0.0,kakao,2025-10-04 16:10:12.240647+00:00
광진구 광장동 332-9,광진구 광장동 332-9,,,0.0,kakao,2025-10-04 16:11:07.083588+00:00
광진구 광장동 561번지,광진구 광장동 561번지,,,0.0,kakao,2025-10-04 16:19:40.885466+00:00
광진구 구의동 227-3번지 외 1필지,광진구 구의동 227-3번지 외 1필지,,,0.0,kakao,2025-10-04 16:11:37.553500+00:00
광진구 구의동 592-39,광진구 구의동 592-39,,,0.0,kakao,2025-10-04 16:14:08.516918+00:00
광진구 자양4동 236번지,광진구 자양4동 236번지,,,0.0,kakao,2025-10-04 16:11:36.503692+00:00
광진구 자양동 249-2,광진구 자양동 249-2,,,0.0,kakao,2025-10-04 16:20:21.929872+00:00
광진구 자양동 588-22,광진구 자양동 588-22,,,0.0,kakao,2025-10-04 16:19:59.831096+00:00
광진구 자양동 658-14번지,광진구 자양동 658-14번지,,,0.0,kakao,2025-10-04 16:10:24.825843+00:00
광진구 자양동 695-0,광진구 자양동 695-0,,,0.0,kakao,2025-10-04 16:18:57.551052+00:00
광진구 중곡동 190-26번지,광진구 중곡동 190-26번지,,,0.0,kakao,2025-10-04 16:12:43.738939+00:00
광진구 화양동 32-12,광진구 화양동 32-12,,,0.0,kakao,2025-10-04 16:19:33.531347+00:00
광진구 화양동 35-4,광진구 화양동 35-4,,,0.0,kakao,2025-10-04 16:17:08.021622+00:00
광진구 화양동 499-18외 1필지,광진구 화양동 499-18외 1필지,,,0.0,kakao,2025-10-04 16:16:48.002372+00:00
구로구 가리봉동 87-177,구로구 가리봉동 87-177,,,0.0,kakao,2025-10-04 16:20:59.853880+00:00
구로구 개봉1동 68번지,구로구 개봉1동 68번지,,,0.0,kakao,2025-10-04 16:09:29.189620+00:00
구로구 개봉동 170-35,구로구 개봉동 170-35,,,0.0,kakao,2025-10-04 16:20:28.243473+00:00
구로구 개봉동 199-4,구로구 개봉동 199-4,,,0.0,kakao,2025-10-04 16:17:32.237792+00:00
구로구 개봉동 335-16,구로구 개봉동 335-16,,,0.0,kakao,2025-10-04 16:17:59.622489+00:00
구로구 개봉동 454-14,구로구 개봉동 454-14,,,0.0,kakao,2025-10-04 16:09:28.134629+00:00
구로구 고척동 148번지,구로구 고척동 148번지,,,0.0,kakao,2025-10-04 16:14:47.383623+00:00
구로구 고척동 227-1 227-6,구로구 고척동 227-1 227-6,,,0.0,kakao,2025-10-04 16:14:10.625508+00:00
구로구 고척동 241-11번지,구로구 고척동 241-11번지,,,0.0,kakao,2025-10-04 16:11:25.993195+00:00
구로구 고척동 241-2,구로구 고척동 241-2,,,0.0,kakao,2025-10-04 16:17:33.291517+00:00
구로구 고척동 241-337,구로구 고척동 241-337,,,0.0,kakao,2025-10-04 16:20:38.784230+00:00
구로구 고척동 241-63,구로구 고척동 241-63,,,0.0,kakao,2025-10-04 16:16:32.186939+00:00
구로구 고척동 57-9,구로구 고척동 57-9,,,0.0,kakao,2025-10-04 16:12:48.983776+00:00
구로구 구로동 153-3,구로구 구로동 153-3,,,0.0,kakao,2025-10-04 16:14:11.677709+00:00
구로구 구로동 23,구로구 구로동 23,,,0.0,kakao,2025-10-04 16:21:42.352591+00:00
구로구 구로동 440-0,구로구 구로동 440-0,,,0.0,kakao,2025-10-04 16:10:20.626093+00:00
구로구 구로동 685-280,구로구 구로동 685-280,,,0.0,kakao,2025-10-04 16:17:19.591821+00:00
구로구 구로동 715-24,구로구 구로동 715-24,,,0.0,kakao,2025-10-04 16:19:44.044981+00:00
구로구 궁동 171-1번지외 3필지,구로구 궁동 171-1번지외 3필지,,,0.0,kakao,2025-10-04 16:17:22.745315+00:00
구로구 궁동 213-27,구로구 궁동 213-27,,,0.0,kakao,2025-10-04 16:19:39.834078+00:00
구로구 궁동 236-1번지 외 9필지,구로구 궁동 236-1번지 외 9필지,,,0.0,kakao,2025-10-04 16:15:51.099621+00:00
구로구 궁동 240-0,구로구 궁동 240-0,,,0.0,kakao,2025-10-04 16:12:47.933075+00:00
구로구 오류동 150-42,구로구 오류동 150-42,,,0.0,kakao,2025-10-04 16:14:23.223682+00:00
구로구 오류동 156-15번지,구로구 오류동 156-15번지,,,0.0,kakao,2025-10-04 16:16:14.278052+00:00
구로구 오류동 68-21,구로구 오류동 68-21,,,0.0,kakao,2025-10-04 16:15:27.865514+00:00
구로구 온수동 45-32,구로구 온수동 45-32,,,0.0,kakao,2025-10-04 16:12:30.078797+00:00
금천구 가산동 12-31,금천구 가산동 12-31,,,0.0,kakao,2025-10-04 16:20:22.981773+00:00
금천구 가산동 146번지 일대,금천구 가산동 146번지 일대,,,0.0,kakao,2025-10-04 16:23:12.883954+00:00
금천구 가산동 255-255,금천구 가산동 255-255,,,0.0,kakao,2025-10-04 16:18:25.957011+00:00
금천구 가산동 547-44번지,금천구 가산동 547-44번지,,,0.0,kakao,2025-10-04 16:16:04.792497+00:00
금천구 가산동 산 123-12,금천구 가산동 산 123-12,,,0.0,kakao,2025-10-04 16:21:19.175549+00:00
금천구 독산동 147-1 일대,금천구 독산동 147-1 일대,,,0.0,kakao,2025-10-04 16:23:13.940434+00:00
금천구 독산동 954외 1필지,금천구 독산동 954외 1필지,,,0.0,kakao,2025-10-04 16:19:04.928111+00:00
금천구 독산동 966-1,금천구 독산동 966-1,,,0.0,kakao,2025-10-04 16:22:22.266990+00:00
금천구 시흥대로 73 대도연립,금천구 시흥대로 73 대도연립,,,0.0,kakao,2025-10-04 16:14:55.775413+00:00
금천구 시흥동 1002-2,금천구 시흥동 1002-2,,,0.0,kakao,2025-10-04 16:21:59.206288+00:00
금천구 시흥동 1004-0,금천구 시흥동 1004-0,,,0.0,kakao,2025-10-04 16:18:13.320521+00:00
금천구 시흥동 109-1,금천구 시흥동 109-1,,,0.0,kakao,2025-10-04 16:17:20.643043+00:00
금천구 시흥동 220-2,금천구 시흥동 220-2,,,0.0,kakao,2025-10-04 16:11:38.607520+00:00
"금천구 시흥동 791-39,40,42번지","금천구 시흥동 791-39,40,42번지",,,0.0,kakao,2025-10-04 16:23:05.485642+00:00
금천구 시흥동 817818169번지,금천구 시흥동 817818169번지,,,0.0,kakao,2025-10-04 16:20:07.203708+00:00
금천구 시흥동 871-0,금천구 시흥동 871-0,,,0.0,kakao,2025-10-04 16:15:16.271976+00:00
금천구 시흥동 919-0,금천구 시흥동 919-0,,,0.0,kakao,2025-10-04 16:20:35.623358+00:00
금천구 시흥동 920-13,금천구 시흥동 920-13,,,0.0,kakao,2025-10-04 16:11:30.202757+00:00
금천구 시흥동 933-0,금천구 시흥동 933-0,,,0.0,kakao,2025-10-04 16:19:58.779095+00:00
길음동 31-1번지 일대,길음동 31-1번지 일대,,,0.0,kakao,2025-10-04 16:16:55.375310+00:00
노량진227-5,노량진227-5,,,0.0,kakao,2025-10-04 16:13:00.532033+00:00
노량진동 270-3,노량진동 270-3,,,0.0,kakao,2025-10-04 16:17:04.867483+00:00
노원구 공릉동 270-71,노원구 공릉동 270-71,,,0.0,kakao,2025-10-04 16:10:05.936498+00:00
노원구 공릉로 34길 74,노원구 공릉로 34길 74,,,0.0,kakao,2025-10-04 16:16:58.537252+00:00
노원구 상계10동 677 688,노원구 상계10동 677 688,,,0.0,kakao,2025-10-04 16:12:04.871268+00:00
노원구 상계동 109-43번지,노원구 상계동 109-43번지,,,0.0,kakao,2025-10-04 16:16:17.426293+00:00
노원구 상계동 322-8,노원구 상계동 322-8,,,0.0,kakao,2025-10-04 16:20:45.114039+00:00
노원구 상계동 721,노원구 상계동 721,,,0.0,kakao,2025-10-04 16:11:41.760992+00:00
노원구 상계동 85-33번지,노원구 상계동 85-33번지,,,0.0,kakao,2025-10-04 16:10:47.990905+00:00
노원구 상계동 95-3번지,노원구 상계동 95-3번지,,,0.0,kakao,2025-10-04 16:10:50.099116+00:00
노원구 상계동 자력2구역 17블럭 1롯트,노원구 상계동 자력2구역 17블럭 1롯트,,,0.0,kakao,2025-10-04 16:12:09.085947+00:00
노원구 월계동 436번지,노원구 월계동 436번지,,,0.0,kakao,2025-10-04 16:15:17.324954+00:00
노원구 월계동 672번지,노원구 월계동 672번지,,,0.0,kakao,2025-10-04 16:16:59.593888+00:00
녹번동 53번지,녹번동 53번지,,,0.0,kakao,2025-10-04 16:13:12.085458+00:00
논현동 62-3,논현동 62-3,,,0.0,kakao,2025-10-04 16:01:52.565134+00:00
도봉구 도봉동 625-80,도봉구 도봉동 625-80,,,0.0,kakao,2025-10-04 16:20:39.835769+00:00
도봉구 도봉동 724-0,도봉구 도봉동 724-0,,,0.0,kakao,2025-10-04 16:21:14.950788+00:00
도봉구 도봉동 95,도봉구 도봉동 95,,,0.0,kakao,2025-10-04 16:16:57.485431+00:00
도봉구 방학동 343-0,도봉구 방학동 343-0,,,0.0,kakao,2025-10-04 16:20:40.898278+00:00
도봉구 방학동 636,도봉구 방학동 636,,,0.0,kakao,2025-10-04 16:22:59.151975+00:00
도봉구 쌍문동 137-94외 5필지,도봉구 쌍문동 137-94외 5필지,,,0.0,kakao,2025-10-04 16:21:11.780793+00:00
도봉구 쌍문동 388-33,도봉구 쌍문동 388-33,,,0.0,kakao,2025-10-04 16:16:21.631133+00:00
도봉구 창동 466-0,도봉구 창동 466-0,,,0.0,kakao,2025-10-04 16:20:43.008397+00:00
도봉구 창동 501-13,도봉구 창동 501-13,,,0.0,kakao,2025-10-04 16:11:08.131805+00:00
도봉구 창동 581-3,도봉구 창동 581-3,,,0.0,kakao,2025-10-04 16:20:41.957646+00:00
동대문구 답십리동 12번지,동대문구 답십리동 12번지,,,0.0,kakao,2025-10-04 16:13:58.004326+00:00
동대문구 답십리동 25-0,동대문구 답십리동 25-0,,,0.0,kakao,2025-10-04 16:09:52.280322+00:00
동대문구 답십리동 952-0,동대문구 답십리동 952-0,,,0.0,kakao,2025-10-04 16:13:16.593896+00:00
